Human Adjudicated GT,,,,,,,,,,,
"This is a Human Adjudicated GT for a set of anonymized emails---suspected scam/impersonation emails collected by Panacea team members---wherein each row consists of an email number (1 is the first email in the pool), a sentence from that email, a potential Ask or Framing action (e.g., ""contact"", ""win""), arguments of that action, confidence score associated with Ask or Framing (if there is one), the Ask (e.g., ""contact""=PERFORM), the Framing (e.g., ""win""=GAIN), an Ask or Framing structure (including URL).  If there is an Ask, the designation as Top Ask is marked X if it is a top ask (or unmarked if not), and an Ask Category is provided. Potential Asks and Framings are extracted using dependency/constituency parsing and semantic role labeling (SRL). Experimental data associated with this Ground truth are available on the Ask Detection website. Note: The Case Index in GT is aligned with the Case Index in the Experimental Data. Also, see Dorr et al., AAAI 2020 for overall Precision, Recall, and F results based on these outcomes.",,,,,,,,,,,
,,,,,,,,,,,
Case Index,Email,Sentence,Action,Arg1,Arg2,Confidence,Ask,Framing,Ask or Framing Representation,Top Ask,Ask Category
366,17," Dont disclose it to any body, because the secrecy of this transaction is as well as the success of it.",is,the secrecy of this transaction,as well as the success of it,,,,<[is[the secrecy of this transaction()['finance_info']]]>,,finance_info
367,17, I am waiting to hear from you urgently.,hear,from you,urgently,,,,<[hear[from you()[]]]>,,
368,17, I am waiting to hear from you urgently.,am,,,,,,<[am[()[]]]>,,
369,17, Please reply me on this my private E-MAIL contact only;  URL,reply,me,,0.9,PERFORM,,<PERFORM[reply[me(0)[]]]>,X,
370,17,Your full name..........,name,,,,,,<[name[()[]]]>,,
371,17, Home address:.........,address,,,,,,<[address[()[]]]>,,
372,17, Your country...........,country,,,,,,<[country[()[]]]>,,
373,17, Your city..............,city,,,,,,<[city[()[]]]>,,
374,17, Telephone......,telephone,,,0.7,,,<PERFORM[telephone[()[]]]>,,
375,17, Occupation:.......,occupation,,,,,,<[occupation[()[]]]>,,
376,17, Age:....................,age,,,,,,<[age[()[]]]>,,
377,17, SEX:...........................,sex,,,,,,<[sex[()[]]]>,,
378,17, I expect your urgent response with much anticipation!!!!!!!,expect,your urgent response with much anticipation,,,PERFORM,,<[expect[your urgent response with much anticipation()[]]]>,X,
379,17," yours faithfully, Mr.Sal Is.",is,,,,,,<[is[()[]]]>,,
380,17," yours faithfully, Mr.Sal Is.",yours,,,,,,<[yours[()[]]]>,,
381,18,Hello  URL vqEX7,vqex7,,,,,,<[vqex7[()[]]]>,,
382,18,Only we have a base of 250 million e-mail addresses vqEX7,have,a base of 250 million e - mail addresses,,,,,<[have[a base of 250 million e - mail addresses()[]]]>,,
383,18,Only we have a base of 250 million e-mail addresses vqEX7,vqex7,,,,,,<[vqex7[()[]]]>,,
384,18,of businessmen from all over the World.,businessmen,,,,,,<[businessmen[()[]]]>,,
385,18, vqEX7,vqex7,,,,,,<[vqex7[()[]]]>,,
386,18,Our contacts:  business.group@example.com vqEX7,contacts,,,0,PERFORM,,<PERFORM[contacts[(0)[]]]>,,
387,18,Our contacts:  business.group@example.com vqEX7,vqex7,,,,,,<[vqex7[()[]]]>,,
388,18,To unsubscribe send us an email with the topic 'unsubscribe' vqEX7,send,an email with the topic ' unsubscribe ' vqex7,us,0.8,PERFORM,,<PERFORM[send[an email with the topic ' unsubscribe ' vqex7()['personal']]]>,X,personal
389,19,"Dear Colleague,",colleague,,,,,,<[colleague[()[]]]>,,
390,19,AI Trends is conducting a survey on AI solutions within your organization.,conducting,a survey on ai solutions,,,,,<[conducting[a survey on ai solutions()['phishing']]]>,,phishing
391,19,AI Trends is conducting a survey on AI solutions within your organization.,is,,,,,,<[is[()[]]]>,,
392,19, Qualified participants will be entered for a chance to win 1 of 5 Apple AirPods.,entered,qualified participants,,,,,<[entered[qualified participants()[]]]>,,
393,19, Qualified participants will be entered for a chance to win 1 of 5 Apple AirPods.,be,,,,,,<[be[()[]]]>,,
394,19, Qualified participants will be entered for a chance to win 1 of 5 Apple AirPods.,win,1 of 5 apple airpods,,0.9,,GAIN,<GAIN[win[1 of 5 apple airpods()[]]]>,,
395,19, We appreciate your feedback.,appreciate,your feedback,,,,,<[appreciate[your feedback()[]]]>,,
396,19,Contribute here!,contribute,,,0,GIVE,,<GIVE[Contribute[(0)[]]]>,X,
397,19,Thank you for your time.,thank,you,for your time,,,,<[Thank[you()[]]]>,,
398,19,Mark Conway Marketing Manager aiFuture.com,aiFuture.com,,,,,,<[aiFuture.com[()[]]]>,,
399,19,"AI Future250 Main St, Suite 100, Rockville, MD - Tel: 999-422-9999 | Fax: 999-422-9998 This email is being sent to  URL This email communication is for marketing purposes.",avenue,,,,,,<[avenue[()[]]]>,,
400,19,"AI Future250 Main St, Suite 100, Rockville, MD - Tel: 999-422-9999 | Fax: 999-422-9998 This email is being sent to  URL This email communication is for marketing purposes.",fax,,,0,PERFORM,,<PERFORM[fax[(4)[]]]>,X,
401,19,"AI Future250 Main St, Suite 100, Rockville, MD - Tel: 999-422-9999 | Fax: 999-422-9998 This email is being sent to  URL This email communication is for marketing purposes.",is,this email communication,for marketing purposes,,,,<[is[this email communication()['personal']]]>,,personal
402,19,"AI Future250 Main St, Suite 100, Rockville, MD - Tel: 999-422-9999 | Fax: 999-422-9998 This email is being sent to  URL This email communication is for marketing purposes.",being,,,,,,<[being[()[]]]>,,
403,19,"AI Future250 Main St, Suite 100, Rockville, MD - Tel: 999-422-9999 | Fax: 999-422-9998 This email is being sent to  URL This email communication is for marketing purposes.",sent,this email,to url,0,,,<PERFORM[sent[this email()['personal']]]>,,personal
404,19,"AI Future250 Main St, Suite 100, Rockville, MD - Tel: 999-422-9999 | Fax: 999-422-9998 This email is being sent to  URL This email communication is for marketing purposes.",is,this email communication,for marketing purposes,,,,<[is[this email communication()['personal']]]>,,personal
405,19," If it is not of interest to you,  please disregard and we apologize for any inconvenience this may have caused.",interest,,,,,,<[NOT interest[()[]]]>,,
406,19," If it is not of interest to you,  please disregard and we apologize for any inconvenience this may have caused.",please,disregard,,,,,<[please[disregard()[]]]>,,
407,19," If it is not of interest to you,  please disregard and we apologize for any inconvenience this may have caused.",apologize,for any inconvenience this may have caused,,,,,<[apologize[for any inconvenience this may have caused()[]]]>,,
408,19," If it is not of interest to you,  please disregard and we apologize for any inconvenience this may have caused.",is,it,of interest,,,,<[is[it()[]]]>,,
409,19," If it is not of interest to you,  please disregard and we apologize for any inconvenience this may have caused.",have,,,,,,<[have[()[]]]>,,
410,19," If it is not of interest to you,  please disregard and we apologize for any inconvenience this may have caused.",caused,any inconvenience,,,,,<[caused[any inconvenience()[]]]>,,
411,19," To prevent further emails, go to  http://www.aiFuture.com/unsubscribe/ Privacy  Policy",go,,,,PERFORM,,<[go[(3)[]]]>,X,
412,20,New research about sleep,research,,,,,,<[research[()[]]]>,,
413,20,"Hey, I will be at the meeting tomorrow.",meeting,,,,,,<[meeting[()[]]]>,,
414,20,"Hey, I will be at the meeting tomorrow.",be,i,at the meeting,,,,<[be[i()[]]]>,,
415,20," I might be a couple minutes late because of traffic at that time of day, but I'll be there as soon as possible.",minutes,,,,,,<[minutes[()[]]]>,,
416,20," I might be a couple minutes late because of traffic at that time of day, but I'll be there as soon as possible.",be,i,there,,,,<[be[i()[]]]>,,
417,20," Schedule me for Wednesday, please.",please,,,,,,<[please[()[]]]>,,
418,20," Schedule me for Wednesday, please.",schedule,me,,,PERFORM,,<[Schedule[me()[]]]>,X,
419,20, Thanks you.,thanks,,,,,,<[thanks[()[]]]>,,
420,20,Lake Fine Hotel & Spa Get Ready To Sleep Better Than You Have In Years New research has found that this natural sleep aid is far more effective than the most commonly prescribed sleeping pills without any of the unwanted side effects.,ready,,,,,,<[ready[()[]]]>,,
421,20,Lake Fine Hotel & Spa Get Ready To Sleep Better Than You Have In Years New research has found that this natural sleep aid is far more effective than the most commonly prescribed sleeping pills without any of the unwanted side effects.,has,,,,,,<[has[()[]]]>,,
422,20,Lake Fine Hotel & Spa Get Ready To Sleep Better Than You Have In Years New research has found that this natural sleep aid is far more effective than the most commonly prescribed sleeping pills without any of the unwanted side effects.,found,that this natural sleep aid is far more effective than the most commonly prescribed sleeping pills without any of the unwanted side effects,,0,,,<PERFORM[found[that this natural sleep aid is far more effective than the most commonly prescribed sleeping pills without any of the unwanted side effects()[]]]>,,
423,20,Lake Fine Hotel & Spa Get Ready To Sleep Better Than You Have In Years New research has found that this natural sleep aid is far more effective than the most commonly prescribed sleeping pills without any of the unwanted side effects.,is,this natural sleep aid,far more effective than the most commonly prescribed sleeping pills,,,,<[is[this natural sleep aid()[]]]>,,
424,20,Lake Fine Hotel & Spa Get Ready To Sleep Better Than You Have In Years New research has found that this natural sleep aid is far more effective than the most commonly prescribed sleeping pills without any of the unwanted side effects.,prescribed,sleeping pills,,,,,<[prescribed[sleeping pills()[]]]>,,
425,20,Lake Fine Hotel & Spa Get Ready To Sleep Better Than You Have In Years New research has found that this natural sleep aid is far more effective than the most commonly prescribed sleeping pills without any of the unwanted side effects.,sleeping,,,,,,<[sleeping[()[]]]>,,
426,20,FIND OUT MORE,find,more,,0.9,PERFORM,,<PERFORM[FIND[more(1)[]]]>,X,
427,20,Contact,contact,,,0,PERFORM,,<PERFORM[contact[()[]]]>,X,
428,20,him one or three or five grand.,one,,,,,,<[one[()[]]]>,,
429,20,him one or three or five grand.,three,,,,,,<[three[()[]]]>,,
430,20,him one or three or five grand.,grand,,,,,,<[grand[()[]]]>,,
431,20," he was constantly prone to emotional episodes about how unfair everything was, how he resented the parents for not supporting him and fanatically ranted about having to do everything himself in life.",was,everything,how unfair,,,,<[was[everything()[]]]>,,
432,20," he was constantly prone to emotional episodes about how unfair everything was, how he resented the parents for not supporting him and fanatically ranted about having to do everything himself in life.",was,everything,how unfair,,,,<[was[everything()[]]]>,,
433,20," he was constantly prone to emotional episodes about how unfair everything was, how he resented the parents for not supporting him and fanatically ranted about having to do everything himself in life.",resented,the parents,for not supporting him,0.9,,,<LOSE[resented[the parents()[]]]>,,
434,20," he was constantly prone to emotional episodes about how unfair everything was, how he resented the parents for not supporting him and fanatically ranted about having to do everything himself in life.",supporting,him,,0,,,<PERFORM[NOT supporting[him()[]]]>,,
435,20," he was constantly prone to emotional episodes about how unfair everything was, how he resented the parents for not supporting him and fanatically ranted about having to do everything himself in life.",ranted,about having to do everything himself in life,,,,,<[ranted[about having to do everything himself in life()[]]]>,,
436,20," he was constantly prone to emotional episodes about how unfair everything was, how he resented the parents for not supporting him and fanatically ranted about having to do everything himself in life.",having,,,,,,<[having[()[]]]>,,
437,20," he was constantly prone to emotional episodes about how unfair everything was, how he resented the parents for not supporting him and fanatically ranted about having to do everything himself in life.",do,everything himself,,,,,<[do[everything himself()[]]]>,,
438,20, it's the worst case because i've never otherwise known someone so cartoonishly hypocritical.,known,someone so cartoonishly hypocritical,,,,,<[NOT known[someone so cartoonishly hypocritical()[]]]>,,
439,20, ummmm how about litcherally samuel dump???,ummmm,how about litcherally samuel dump,,,,,<[ummmm[how about litcherally samuel dump()[]]]>,,
440,20, ummmm how about litcherally samuel dump???,dump,,,,,,<[dump[()[]]]>,,
441,20, <--- upvotes that way please xd dude in high school drove a hummer to school thought he could just have the best seat in cl but it was really just about who got their first.,drove,a hummer,,,,,<[drove[a hummer()[]]]>,,
442,20, <--- upvotes that way please xd dude in high school drove a hummer to school thought he could just have the best seat in cl but it was really just about who got their first.,thought,he could just have the best seat in cl,,,,,<[thought[he could just have the best seat in cl()[]]]>,,
443,20, <--- upvotes that way please xd dude in high school drove a hummer to school thought he could just have the best seat in cl but it was really just about who got their first.,about,,,,,,<[about[()[]]]>,,
444,20, <--- upvotes that way please xd dude in high school drove a hummer to school thought he could just have the best seat in cl but it was really just about who got their first.,please,dude,,,,,<[please[dude()[]]]>,,
445,20, <--- upvotes that way please xd dude in high school drove a hummer to school thought he could just have the best seat in cl but it was really just about who got their first.,have,the best seat in,,,,,<[have[the best seat in()[]]]>,,
446,20, <--- upvotes that way please xd dude in high school drove a hummer to school thought he could just have the best seat in cl but it was really just about who got their first.,was,it,just about who got their first,,,,<[was[it()[]]]>,,
447,20, <--- upvotes that way please xd dude in high school drove a hummer to school thought he could just have the best seat in cl but it was really just about who got their first.,got,their,,0.9,,,<GAIN[got[their()[]]]>,,
448,20, always complained and demanded he have one whole desk just for his duffle bag.,complained,,,,,,<[complained[()[]]]>,,
449,20, always complained and demanded he have one whole desk just for his duffle bag.,demanded,he have one whole desk just for his duffle bag,,,,,<[demanded[he have one whole desk just for his duffle bag()[]]]>,,
450,20, always complained and demanded he have one whole desk just for his duffle bag.,have,one whole desk,,,,,<[have[one whole desk()[]]]>,,
451,20, ing duffle bag for no reason liberal university students in america not realizing that they are the one percent.,ing,duffle bag,,,,,<[ing[duffle bag()[]]]>,,
452,20, ing duffle bag for no reason liberal university students in america not realizing that they are the one percent.,realizing,that they are the one percent,,,,,<[NOT realizing[that they are the one percent()[]]]>,,
453,20, ing duffle bag for no reason liberal university students in america not realizing that they are the one percent.,are,they,the one percent,,,,<[are[they()[]]]>,,
454,20, worked with a high school girl.,worked,,,,,,<[worked[()[]]]>,,
455,20," it was her first job, and at a restaurant.",job,,,,,,<[job[()['scam_job']]]>,,scam_job
456,20," it was her first job, and at a restaurant.",restaurant,,,,,,<[restaurant[()[]]]>,,
457,20," it was her first job, and at a restaurant.",was,it,"her first job , and at a restaurant",,,,<[was[it()['scam_job']]]>,,scam_job
458,20, i was talking with another co worker about our second jobs and she asked us ?,talking,about our second jobs,with another co worker,,,,<[talking[about our second jobs()[]]]>,,
459,20, i was talking with another co worker about our second jobs and she asked us ?,asked,us,,0,,,<PERFORM[asked[us()[]]]>,,
460,20, i was talking with another co worker about our second jobs and she asked us ?,was,,,,,,<[was[()[]]]>,,
461,20,why would you have more than one job?,have,more than one job,,,,,<[have[more than one job()['scam_job']]]>,,scam_job
462,20, legitimately didn?t understand what bills were when we explained.,understand,what bills were when we explained,,,,,<[understand[what bills were when we explained()[]]]>,,
463,20, legitimately didn?t understand what bills were when we explained.,were,bills,what,,,,<[were[bills()[]]]>,,
464,20, legitimately didn?t understand what bills were when we explained.,explained,,,,,,<[explained[()[]]]>,,
465,20," ran into her a few years later and she was serving tables, looked ran down, and now clearly understands why people have more than one job.",ran,,,,,,<[ran[()[]]]>,,
466,20," ran into her a few years later and she was serving tables, looked ran down, and now clearly understands why people have more than one job.",ran,,,,,,<[ran[()[]]]>,,
467,20," ran into her a few years later and she was serving tables, looked ran down, and now clearly understands why people have more than one job.",serving,tables,,0,,,<GIVE[serving[tables()[]]]>,,
468,20," ran into her a few years later and she was serving tables, looked ran down, and now clearly understands why people have more than one job.",understands,why people have more than one job,,,,,<[understands[why people have more than one job()['scam_job']]]>,,scam_job
469,20," ran into her a few years later and she was serving tables, looked ran down, and now clearly understands why people have more than one job.",was,,,,,,<[was[()[]]]>,,
470,20," ran into her a few years later and she was serving tables, looked ran down, and now clearly understands why people have more than one job.",looked,ran down,,0,,,<PERFORM[looked[ran down()[]]]>,,
471,20," ran into her a few years later and she was serving tables, looked ran down, and now clearly understands why people have more than one job.",have,more than one job,,,,,<[have[more than one job()['scam_job']]]>,,scam_job
472,20, gonna need,need,,,0.1,GIVE,,<GIVE[need[()[]]]>,,
